time                            | close_price | high_price | low_price | open_price | symbol | value       | volume
 2024-09-10 00:00:00.000000+0000 |        0.34 |       0.35 |      0.33 |       0.34 |    JKN |  2.1575e+06 |  6396411
 2025-02-03 00:00:00.000000+0000 |       65.25 |      65.25 |     65.25 |      65.25 |    BCT |        6525 |      100
 2024-09-04 00:00:00.000000+0000 |        0.37 |        0.4 |      0.36 |       0.39 |    JKN |  6.9851e+06 | 18504030
 2025-01-27 00:00:00.000000+0000 |        10.1 |       10.1 |       9.9 |        9.9 |   MIPF |       15980 |     1600
 2024-07-19 00:00:00.000000+0000 |        0.03 |       0.03 |      0.02 |       0.03 |    KKC | 37278.16016 |  1246972
 2025-02-27 00:00:00.000000+0000 |         0.1 |       0.11 |      0.09 |        0.1 |    NWR |  2.1677e+05 |  2367552
 2023-05-02 00:00:00.000000+0000 |        0.41 |       0.43 |      0.39 |        0.4 |   ACAP |  2.5591e+05 |   622148
 2025-03-14 00:00:00.000000+0000 |        2.68 |        2.7 |      2.66 |        2.7 |    PDG |  4.5715e+05 |   171425
 2025-02-21 00:00:00.000000+0000 |        0.08 |        0.1 |      0.08 |       0.09 |    NWR |  7.8725e+05 |  8764673
 2025-03-12 00:00:00.000000+0000 |         2.6 |        2.6 |      2.56 |       2.58 |    PDG |  1.4464e+05 |    56205
 2025-01-31 00:00:00.000000+0000 |          29 |      29.75 |        29 |      29.75 | MANRIN |  2.0402e+05 |     6959
 2023-05-08 00:00:00.000000+0000 |        0.48 |        0.5 |      0.41 |       0.41 |   ACAP |  8.0901e+05 |  1699500
 2024-09-11 00:00:00.000000+0000 |         0.3 |       0.34 |       0.3 |       0.33 |    JKN |   3.748e+06 | 11995669
 2025-02-18 00:00:00.000000+0000 |        9.05 |       9.05 |      9.05 |       9.05 |    OCC |         905 |      100

(67 rows)
